panel,receptor_id
extended,1BE9
extended,1CKA
extended,1D4T
extended,1ELW
extended,1MFG
extended,1NLO
extended,1OAI
extended,1OBX
extended,1SEM
extended,1TP5
extended,1UHE
extended,1UTI
extended,1YCR
extended,2DF6
extended,2DS8
extended,2EEO
extended,2FNT
extended,2GBQ
extended,2IZX
extended,2PV1
extended,2VWF
extended,2X6M
extended,3ASL
extended,3BFQ
extended,3DS4
extended,3FDO
extended,3JQL
extended,3KUJ
extended,3LNY
extended,3NJJ
extended,3RM1
extended,3SO6
extended,3VQG
extended,4LN2
extended,4M5S
extended,4O36
extended,4WSF
extended,4Z2O
extended,4Z8J
extended,5D94
extended,5E0L
extended,5WOU
extended,5XHZ
extended,6E5X
extended,6EZI
extended,6GPZ
extended,6JUE
extended,6L0W
extended,6R8I
extended,6Y9Q
extended,6YOO
extended,7OKL
extended,7S7J
extended,8HLO
extended,8KDX
extended,8T33
extended,8TGF
extended,9F6S
extended,9GRF
held-out,7E0B
held-out,7F3S
held-out,7JZQ
held-out,7OKL
held-out,7PVX
held-out,7RUP
held-out,7S7J
held-out,7TZK
held-out,7UHE
held-out,7XV0
held-out,8HLO
held-out,8JJV
held-out,8KDX
held-out,8OP0
held-out,8PEF
held-out,8TFU
held-out,8VGC
held-out,8X8A
held-out,8YTG
held-out,9C66
held-out,9F6S
held-out,9GRF
in-training,1BE9
in-training,1CKA
in-training,1D4T
in-training,1ELW
in-training,1NLO
in-training,1OAI
in-training,1SEM
in-training,1TP5
in-training,1YCR
in-training,2FNT
in-training,2GBQ
in-training,3DS4
in-training,4LN2
in-training,4O36
in-training,4Z8J
in-training,6YOO
in-training,7OKL
in-training,7S7J
in-training,8HLO
in-training,8KDX
in-training,9F6S
in-training,9GRF
