file,residues,atoms,bonds,fragments
pair_000_B.pdb,15,127,130,1
pair_001_B.pdb,24,196,203,1
pair_002_B.pdb,9,70,71,1
pair_003_B.pdb,8,61,62,1
pair_004_B.pdb,15,127,130,1
pair_005_B.pdb,15,127,130,1
pair_006_B.pdb,10,77,81,1
pair_007_B.pdb,6,51,52,1
pair_008_B.pdb,7,65,68,1
pair_009_B.pdb,15,121,124,1
pair_010_B.pdb,10,77,81,1
pair_011_B.pdb,10,77,81,1
pair_012_B.pdb,5,38,37,1
pair_013_B.pdb,13,104,104,1
pair_014_B.pdb,15,128,129,1
pair_015_B.pdb,12,92,102,1
pair_016_B.pdb,5,38,37,1
pair_017_B.pdb,5,38,37,1
pair_018_B.pdb,10,80,84,1
pair_019_B.pdb,15,121,124,1
pair_020_B.pdb,11,89,90,1
pair_021_B.pdb,15,121,121,1
pair_022_B.pdb,10,80,84,1
pair_023_B.pdb,10,80,84,1
pair_024_B.pdb,8,59,59,1
pair_025_B.pdb,13,91,96,1
pair_026_B.pdb,6,49,48,1
pair_027_B.pdb,15,112,115,1
pair_028_B.pdb,8,59,59,1
pair_029_B.pdb,8,59,59,1
pair_030_B.pdb,12,92,105,1
pair_031_B.pdb,8,65,65,1
pair_032_B.pdb,16,130,135,1
pair_033_B.pdb,10,61,62,1
pair_034_B.pdb,12,92,96,1
pair_035_B.pdb,12,92,96,1
pair_036_B.pdb,11,89,89,1
pair_037_B.pdb,9,79,81,1
pair_038_B.pdb,15,124,127,1
pair_039_B.pdb,11,83,87,1
pair_040_B.pdb,11,89,89,1
pair_041_B.pdb,11,89,89,1
pair_042_B.pdb,6,55,56,1
pair_043_B.pdb,15,112,115,1
pair_044_B.pdb,6,49,48,1
pair_045_B.pdb,13,104,104,1
pair_046_B.pdb,6,55,56,1
pair_047_B.pdb,6,55,56,1
pair_048_B.pdb,10,83,83,1
pair_049_B.pdb,8,59,59,1
pair_050_B.pdb,23,191,192,1
pair_051_B.pdb,8,59,59,1
pair_052_B.pdb,10,83,83,1
pair_053_B.pdb,10,83,83,1
pair_054_B.pdb,11,69,78,1
pair_055_B.pdb,19,147,157,1
pair_056_B.pdb,10,83,82,1
pair_057_B.pdb,12,96,97,1
pair_058_B.pdb,11,69,72,1
pair_059_B.pdb,11,69,80,1
pair_060_B.pdb,9,65,66,1
pair_061_B.pdb,14,110,110,1
pair_062_B.pdb,24,195,198,1
pair_063_B.pdb,12,92,103,1
pair_064_B.pdb,9,65,66,1
pair_065_B.pdb,9,65,72,1
pair_066_B.pdb,11,83,87,1
pair_067_B.pdb,9,70,71,1
pair_068_B.pdb,24,195,200,1
pair_069_B.pdb,18,145,145,1
pair_070_B.pdb,11,83,87,1
pair_071_B.pdb,11,83,87,1
pair_072_B.pdb,6,49,48,1
pair_073_B.pdb,9,65,67,1
pair_074_B.pdb,6,43,42,1
pair_075_B.pdb,8,59,59,1
pair_076_B.pdb,6,49,48,1
pair_077_B.pdb,6,49,48,1
pair_078_B.pdb,15,112,115,1
pair_079_B.pdb,15,121,124,1
pair_080_B.pdb,6,46,48,1
pair_081_B.pdb,8,59,59,1
pair_082_B.pdb,15,112,115,1
pair_083_B.pdb,15,112,115,1
pair_084_B.pdb,12,96,97,1
pair_085_B.pdb,11,89,89,1
pair_086_B.pdb,17,129,132,1
pair_087_B.pdb,24,196,211,1
pair_088_B.pdb,12,96,97,1
pair_089_B.pdb,12,96,97,1
pair_090_B.pdb,12,102,105,1
pair_091_B.pdb,24,196,203,1
pair_092_B.pdb,24,195,198,1
pair_093_B.pdb,19,147,157,1
pair_094_B.pdb,12,102,106,1
pair_095_B.pdb,12,102,105,1
pair_096_B.pdb,10,61,62,1
pair_097_B.pdb,5,38,37,1
pair_098_B.pdb,8,72,73,1
pair_099_B.pdb,9,65,66,1
pair_100_B.pdb,10,61,62,1
pair_101_B.pdb,10,61,63,1
pair_102_B.pdb,23,191,192,1
pair_103_B.pdb,6,46,50,1
pair_104_B.pdb,18,145,145,1
pair_105_B.pdb,11,89,89,1
pair_106_B.pdb,23,191,192,1
pair_107_B.pdb,23,191,194,1
pair_108_B.pdb,8,72,73,1
pair_109_B.pdb,7,65,68,1
pair_110_B.pdb,6,49,48,1
pair_111_B.pdb,6,51,52,1
pair_112_B.pdb,8,72,73,1
pair_113_B.pdb,8,72,73,1
pair_114_B.pdb,13,91,96,1
pair_115_B.pdb,16,130,133,1
pair_116_B.pdb,15,112,115,1
pair_117_B.pdb,11,86,85,1
pair_118_B.pdb,13,91,96,1
pair_119_B.pdb,13,91,96,1
pair_120_B.pdb,6,46,48,1
pair_121_B.pdb,15,127,130,1
pair_122_B.pdb,12,85,84,1
pair_123_B.pdb,13,104,104,1
pair_124_B.pdb,6,46,48,1
pair_125_B.pdb,6,46,48,1
pair_126_B.pdb,15,121,124,1
pair_127_B.pdb,13,104,104,1
pair_128_B.pdb,16,130,133,1
pair_129_B.pdb,17,129,131,1
pair_130_B.pdb,15,121,124,1
pair_131_B.pdb,15,121,124,1
pair_132_B.pdb,12,85,85,1
pair_133_B.pdb,9,75,77,1
pair_134_B.pdb,8,61,63,1
pair_135_B.pdb,15,112,115,1
pair_136_B.pdb,12,85,84,1
pair_137_B.pdb,12,85,84,1
pair_138_B.pdb,6,51,52,1
pair_139_B.pdb,9,70,71,1
pair_140_B.pdb,16,130,133,1
pair_141_B.pdb,10,80,84,1
pair_142_B.pdb,6,51,52,1
pair_143_B.pdb,6,51,52,1
pair_144_B.pdb,9,79,80,1
pair_145_B.pdb,11,100,103,1
pair_146_B.pdb,11,89,90,1
pair_147_B.pdb,15,128,129,1
pair_148_B.pdb,9,79,81,1
pair_149_B.pdb,9,79,80,1
pair_150_B.pdb,9,70,71,1
pair_151_B.pdb,15,119,124,1
pair_152_B.pdb,11,86,85,1
pair_153_B.pdb,10,83,83,1
pair_154_B.pdb,9,70,71,1
pair_155_B.pdb,9,70,71,1
pair_156_B.pdb,18,144,149,1
pair_157_B.pdb,10,83,82,1
pair_158_B.pdb,13,104,104,1
pair_159_B.pdb,11,86,85,1
pair_160_B.pdb,18,144,150,1
pair_161_B.pdb,18,144,149,1
pair_162_B.pdb,18,145,145,1
pair_163_B.pdb,6,55,56,1
pair_164_B.pdb,11,69,79,1
pair_165_B.pdb,7,65,68,1
pair_166_B.pdb,18,145,145,1
pair_167_B.pdb,18,145,145,1
pair_168_B.pdb,7,65,68,1
pair_169_B.pdb,15,112,115,1
pair_170_B.pdb,15,127,130,1
pair_171_B.pdb,19,142,146,1
pair_172_B.pdb,7,65,68,1
pair_173_B.pdb,7,65,68,1
pair_174_B.pdb,6,43,42,1
pair_175_B.pdb,14,110,110,1
pair_176_B.pdb,6,55,56,1
pair_177_B.pdb,17,129,131,1
pair_178_B.pdb,6,43,42,1
pair_179_B.pdb,6,43,42,1
pair_180_B.pdb,14,110,110,1
pair_181_B.pdb,11,89,90,1
pair_182_B.pdb,14,115,117,1
pair_183_B.pdb,16,126,129,1
pair_184_B.pdb,14,110,110,1
pair_185_B.pdb,14,110,110,1
pair_186_B.pdb,17,129,131,1
pair_187_B.pdb,19,147,157,1
pair_188_B.pdb,8,59,60,1
pair_189_B.pdb,10,83,83,1
pair_190_B.pdb,17,129,131,1
pair_191_B.pdb,17,129,131,1
pair_192_B.pdb,11,100,103,1
pair_193_B.pdb,14,115,117,1
pair_194_B.pdb,15,119,124,1
pair_195_B.pdb,19,147,157,1
pair_196_B.pdb,11,100,103,1
pair_197_B.pdb,11,100,103,1
pair_198_B.pdb,15,121,122,1
pair_199_B.pdb,15,127,130,1
pair_200_B.pdb,8,59,59,1
pair_201_B.pdb,19,147,157,1
pair_202_B.pdb,15,121,121,1
pair_203_B.pdb,15,121,122,1
pair_204_B.pdb,8,65,65,1
pair_205_B.pdb,15,121,122,1
pair_206_B.pdb,11,89,90,1
pair_207_B.pdb,12,106,110,1
pair_208_B.pdb,8,65,66,1
pair_209_B.pdb,8,65,65,1
pair_210_B.pdb,9,76,76,1
pair_211_B.pdb,6,55,56,1
pair_212_B.pdb,15,121,154,1
pair_213_B.pdb,15,128,129,1
pair_214_B.pdb,9,76,76,1
pair_215_B.pdb,9,76,76,1
pair_216_B.pdb,14,115,117,1
pair_217_B.pdb,8,72,73,1
pair_218_B.pdb,7,65,68,1
pair_219_B.pdb,6,51,52,1
pair_220_B.pdb,14,115,117,1
pair_221_B.pdb,14,115,117,1
pair_222_B.pdb,10,81,81,1
pair_223_B.pdb,7,65,68,1
pair_224_B.pdb,13,91,96,1
pair_225_B.pdb,11,69,76,1
pair_226_B.pdb,10,81,81,1
pair_227_B.pdb,10,81,81,1
pair_228_B.pdb,12,106,110,1
pair_229_B.pdb,10,76,75,1
pair_230_B.pdb,9,75,77,1
pair_231_B.pdb,12,96,97,1
pair_232_B.pdb,12,106,110,1
pair_233_B.pdb,12,106,110,1
pair_234_B.pdb,15,119,124,1
pair_235_B.pdb,11,83,87,1
pair_236_B.pdb,7,65,68,1
pair_237_B.pdb,12,85,84,1
pair_238_B.pdb,15,119,124,1
pair_239_B.pdb,15,119,124,1
pair_240_B.pdb,11,86,85,1
pair_241_B.pdb,6,43,42,1
pair_242_B.pdb,10,80,84,1
pair_243_B.pdb,16,126,129,1
pair_244_B.pdb,11,86,85,1
pair_245_B.pdb,11,86,85,1
pair_246_B.pdb,16,126,129,1
pair_247_B.pdb,15,124,127,1
pair_248_B.pdb,18,145,145,1
pair_249_B.pdb,10,83,82,1
pair_250_B.pdb,16,126,129,1
pair_251_B.pdb,16,126,129,1
pair_252_B.pdb,15,115,125,1
pair_253_B.pdb,10,83,85,1
pair_254_B.pdb,10,76,75,1
pair_255_B.pdb,24,195,198,1
pair_256_B.pdb,15,115,125,1
