arm,panel,section,sampling_steps,recycling,msa_depth,receptor_id,name,label,peptide_from,iptm,iface_plddt,receptor_side,peptide_side,peptide_whole,n_rec_iface,n_pep_iface
boltz1_recycling_only,in-training,7.16,10,3,32,1YCR,pair_000,cognate,1YCR,0.19094999134540558,45.192400000000006,45.78125,44.145555555555546,43.54333333333333,16,9
boltz1_recycling_only,in-training,7.16,10,3,32,1YCR,pair_004,scrambled,1YCR,0.13196030259132385,45.1062962962963,46.98684210526315,40.64,41.60266666666666,19,8
boltz1_recycling_only,in-training,7.16,10,3,32,1YCR,pair_005,scrambled,1YCR,0.17380490899085999,44.7147619047619,42.249,46.95636363636363,48.198,10,11
boltz1_recycling_only,in-training,7.16,10,3,32,1CKA,pair_006,cognate,1CKA,0.26882508397102356,55.93894736842105,55.656000000000006,56.25333333333333,55.92099999999999,10,9
boltz1_recycling_only,in-training,7.16,10,3,32,1CKA,pair_010,scrambled,1CKA,0.1827283352613449,53.18363636363636,52.92,53.644999999999996,48.591,7,4
boltz1_recycling_only,in-training,7.16,10,3,32,1CKA,pair_011,scrambled,1CKA,0.14432750642299652,49.569375,51.78125,47.3575,46.64,8,8
boltz1_recycling_only,in-training,7.16,10,3,32,1BE9,pair_012,cognate,1BE9,0.5669817328453064,61.67821428571428,63.007826086956534,55.562,55.562,23,5
boltz1_recycling_only,in-training,7.16,10,3,32,1BE9,pair_016,scrambled,1BE9,0.11417851597070694,37.0075,39.75583333333333,28.7625,28.294,12,4
boltz1_recycling_only,in-training,7.16,10,3,32,1BE9,pair_017,scrambled,1BE9,0.1812661588191986,41.839444444444446,42.02857142857143,41.1775,41.106,14,4
boltz1_recycling_only,in-training,7.16,10,3,32,1SEM,pair_018,cognate,1SEM,0.33114421367645264,59.01695652173913,60.27875,56.13285714285714,56.470000000000006,16,7
boltz1_recycling_only,in-training,7.16,10,3,32,1SEM,pair_022,scrambled,1SEM,0.1458512395620346,46.28947368421053,47.035999999999994,45.46,45.074,10,9
boltz1_recycling_only,in-training,7.16,10,3,32,1SEM,pair_023,scrambled,1SEM,0.1918358951807022,53.2575,56.075,50.44,51.309000000000005,4,4
boltz1_recycling_only,in-training,7.16,10,3,32,1ELW,pair_024,cognate,1ELW,0.16183871030807495,45.68153846153847,47.210625,38.69142857142857,38.14125,32,7
boltz1_recycling_only,in-training,7.16,10,3,32,1ELW,pair_028,scrambled,1ELW,0.19181810319423676,43.975833333333334,45.40588235294118,40.50285714285714,39.13875,17,7
boltz1_recycling_only,in-training,7.16,10,3,32,1ELW,pair_029,scrambled,1ELW,0.125606507062912,41.0248,43.362631578947365,33.62166666666667,32.725,19,6
boltz1_recycling_only,in-training,7.16,10,3,32,2GBQ,pair_030,cognate,2GBQ,0.16885440051555634,48.79611111111111,48.05636363636363,49.95857142857143,49.33083333333334,11,7
boltz1_recycling_only,in-training,7.16,10,3,32,2GBQ,pair_034,scrambled,2GBQ,0.15632671117782593,47.94294117647059,49.583,45.60000000000001,44.78583333333333,10,7
boltz1_recycling_only,in-training,7.16,10,3,32,2GBQ,pair_035,scrambled,2GBQ,0.17206205427646637,49.458124999999995,47.51444444444444,51.95714285714286,49.59916666666666,9,7
boltz1_recycling_only,in-training,7.16,10,3,32,1D4T,pair_036,cognate,1D4T,0.1483992636203766,41.97708333333333,42.846875,40.2375,39.091818181818184,16,8
boltz1_recycling_only,in-training,7.16,10,3,32,1D4T,pair_040,scrambled,1D4T,0.19495756924152374,47.2595652173913,50.57885714285714,36.698181818181816,36.698181818181816,35,11
boltz1_recycling_only,in-training,7.16,10,3,32,1D4T,pair_041,scrambled,1D4T,0.1642969399690628,43.52,47.62428571428571,36.337500000000006,35.14090909090909,14,8
boltz1_recycling_only,in-training,7.16,10,3,32,1TP5,pair_042,cognate,1TP5,0.38262924551963806,51.29549999999999,52.410857142857154,43.488,41.848333333333336,35,5
boltz1_recycling_only,in-training,7.16,10,3,32,1TP5,pair_046,scrambled,1TP5,0.22834289073944092,44.77076923076923,46.441500000000005,39.20166666666667,39.20166666666667,20,6
boltz1_recycling_only,in-training,7.16,10,3,32,1TP5,pair_047,scrambled,1TP5,0.175747811794281,43.43590909090909,47.474375,32.666666666666664,32.666666666666664,16,6
boltz1_recycling_only,in-training,7.16,10,3,32,2FNT,pair_048,cognate,2FNT,0.10490012913942337,40.13086956521739,41.262941176470584,36.92333333333334,34.869,17,6
boltz1_recycling_only,in-training,7.16,10,3,32,2FNT,pair_052,scrambled,2FNT,0.16494713723659515,47.75939393939394,50.030000000000015,37.541666666666664,32.799,27,6
boltz1_recycling_only,in-training,7.16,10,3,32,2FNT,pair_053,scrambled,2FNT,0.1624453365802765,43.22846153846153,44.71578947368421,39.19142857142857,37.174,19,7
boltz1_recycling_only,in-training,7.16,10,3,32,1NLO,pair_054,cognate,1NLO,0.12758024036884308,56.073000000000015,58.16733333333334,49.790000000000006,47.842727272727274,15,5
boltz1_recycling_only,in-training,7.16,10,3,32,1NLO,pair_058,scrambled,1NLO,0.09408415853977203,52.28999999999999,59.54714285714285,41.00111111111111,40.13181818181818,14,9
boltz1_recycling_only,in-training,7.16,10,3,32,1NLO,pair_059,scrambled,1NLO,0.20530664920806885,57.89258064516129,60.4248,47.34166666666667,44.38636363636363,25,6
boltz1_recycling_only,in-training,7.16,10,3,32,1OAI,pair_060,cognate,1OAI,0.1453765332698822,49.199374999999996,52.13777777777778,45.42142857142858,44.941111111111105,9,7
boltz1_recycling_only,in-training,7.16,10,3,32,1OAI,pair_064,scrambled,1OAI,0.12126700580120087,50.77611111111111,57.54818181818182,40.13428571428572,40.596666666666664,11,7
boltz1_recycling_only,in-training,7.16,10,3,32,1OAI,pair_065,scrambled,1OAI,0.10657340288162231,51.20260869565218,53.45444444444444,43.096000000000004,39.95555555555555,18,5
boltz1_recycling_only,in-training,7.16,10,3,32,4LN2,pair_066,cognate,4LN2,0.14535589516162872,45.404999999999994,46.390625,42.77666666666667,44.26909090909091,16,6
boltz1_recycling_only,in-training,7.16,10,3,32,4LN2,pair_070,scrambled,4LN2,0.11693373322486877,44.705,47.55636363636363,41.22,40.79363636363637,11,9
boltz1_recycling_only,in-training,7.16,10,3,32,4LN2,pair_071,scrambled,4LN2,0.14566658437252045,50.54045454545455,57.029999999999994,39.18375,38.68454545454545,14,8
boltz1_recycling_only,in-training,7.16,10,3,32,9F6S,pair_072,cognate,9F6S,0.19469130039215088,49.902187500000004,52.275925925925925,37.084,35.065000000000005,27,5
boltz1_recycling_only,in-training,7.16,10,3,32,9F6S,pair_076,scrambled,9F6S,0.23187993466854095,48.612222222222215,49.32285714285715,46.125,44.528333333333336,14,4
boltz1_recycling_only,in-training,7.16,10,3,32,9F6S,pair_077,scrambled,9F6S,0.18447956442832947,48.91571428571429,50.74217391304349,40.513999999999996,39.22333333333333,23,5
boltz1_recycling_only,in-training,7.16,10,3,32,8KDX,pair_078,cognate,8KDX,0.11944866180419922,43.408,42.78153846153846,44.086666666666666,45.684,13,12
boltz1_recycling_only,in-training,7.16,10,3,32,8KDX,pair_082,scrambled,8KDX,0.08234825730323792,44.68677419354838,44.76736842105264,44.55916666666666,44.650000000000006,19,12
boltz1_recycling_only,in-training,7.16,10,3,32,8KDX,pair_083,scrambled,8KDX,0.08648835122585297,44.97153846153846,45.571999999999996,44.152727272727276,43.024,15,11
boltz1_recycling_only,in-training,7.16,10,3,32,6YOO,pair_084,cognate,6YOO,0.18703772127628326,43.504210526315795,42.895833333333336,44.547142857142866,42.54083333333333,12,7
boltz1_recycling_only,in-training,7.16,10,3,32,6YOO,pair_088,scrambled,6YOO,0.288882851600647,49.21551724137931,54.074,38.41888888888889,36.13666666666666,20,9
boltz1_recycling_only,in-training,7.16,10,3,32,6YOO,pair_089,scrambled,6YOO,0.22344434261322021,47.99521739130435,51.91133333333334,40.6525,38.53333333333333,15,8
boltz1_recycling_only,in-training,7.16,10,3,32,3DS4,pair_090,cognate,3DS4,0.2203180491924286,46.46173913043478,46.20166666666666,46.74545454545454,46.36833333333333,12,11
boltz1_recycling_only,in-training,7.16,10,3,32,3DS4,pair_094,scrambled,3DS4,0.10819976776838303,41.8365,44.64066666666667,33.424,32.17250000000001,30,10
boltz1_recycling_only,in-training,7.16,10,3,32,3DS4,pair_095,scrambled,3DS4,0.13035784661769867,39.86322580645161,43.144285714285715,32.973,32.08416666666667,21,10
boltz1_recycling_only,in-training,7.16,10,3,32,9GRF,pair_096,cognate,9GRF,0.12097776681184769,42.12244444444445,43.40714285714286,37.626000000000005,37.626000000000005,35,10
boltz1_recycling_only,in-training,7.16,10,3,32,9GRF,pair_100,scrambled,9GRF,0.1481029987335205,46.75200000000001,49.898250000000004,34.166999999999994,34.166999999999994,40,10
boltz1_recycling_only,in-training,7.16,10,3,32,9GRF,pair_101,scrambled,9GRF,0.1436617374420166,43.07681818181818,45.432352941176475,35.068,34.394,17,5
boltz1_recycling_only,in-training,7.16,10,3,32,7S7J,pair_102,cognate,7S7J,0.1526668667793274,45.72392857142858,44.227333333333334,47.45076923076924,46.90304347826087,15,13
boltz1_recycling_only,in-training,7.16,10,3,32,7S7J,pair_106,scrambled,7S7J,0.17948682606220245,48.67085714285715,44.864444444444445,52.70117647058824,52.594782608695645,18,17
boltz1_recycling_only,in-training,7.16,10,3,32,7S7J,pair_107,scrambled,7S7J,0.26373186707496643,49.33117647058823,52.2378947368421,45.64933333333333,44.5791304347826,19,15
boltz1_recycling_only,in-training,7.16,10,3,32,4Z8J,pair_108,cognate,4Z8J,0.4662138521671295,53.54125,51.94333333333333,58.335,54.213750000000005,18,6
boltz1_recycling_only,in-training,7.16,10,3,32,4Z8J,pair_112,scrambled,4Z8J,0.17087429761886597,52.88633333333334,56.814400000000006,33.246,31.770000000000003,25,5
boltz1_recycling_only,in-training,7.16,10,3,32,4Z8J,pair_113,scrambled,4Z8J,0.22870779037475586,41.646666666666675,42.40857142857143,38.98,36.1575,14,4
boltz1_recycling_only,in-training,7.16,10,3,32,8HLO,pair_114,cognate,8HLO,0.19127754867076874,47.73846153846153,47.862857142857145,47.59333333333333,46.11923076923077,7,6
boltz1_recycling_only,in-training,7.16,10,3,32,8HLO,pair_118,scrambled,8HLO,0.16815254092216492,50.26323529411765,54.497083333333336,40.10199999999999,39.59615384615384,24,10
boltz1_recycling_only,in-training,7.16,10,3,32,8HLO,pair_119,scrambled,8HLO,0.0911872610449791,47.88142857142857,47.904,47.8609090909091,47.55692307692308,10,11
boltz1_recycling_only,in-training,7.16,10,3,32,7OKL,pair_120,cognate,7OKL,0.15866675972938538,39.91111111111111,44.973333333333336,29.78666666666666,29.78666666666666,12,6
boltz1_recycling_only,in-training,7.16,10,3,32,7OKL,pair_124,scrambled,7OKL,0.17896904051303864,45.67363636363636,47.785555555555554,36.17,31.565,9,2
boltz1_recycling_only,in-training,7.16,10,3,32,7OKL,pair_125,scrambled,7OKL,0.1460394263267517,42.35739130434783,47.455882352941174,27.911666666666665,27.911666666666665,17,6
boltz1_recycling_only,in-training,7.16,10,3,32,4O36,pair_126,cognate,4O36,0.08402920514345169,36.82408163265306,36.21157894736842,38.93999999999999,39.248666666666665,38,11
boltz1_recycling_only,in-training,7.16,10,3,32,4O36,pair_130,scrambled,4O36,0.10476865619421005,36.34782608695652,35.85124999999999,37.48285714285714,37.23133333333333,32,14
boltz1_recycling_only,in-training,7.16,10,3,32,4O36,pair_131,scrambled,4O36,0.07540261000394821,35.53294117647059,36.21512820512821,33.31583333333334,32.40733333333333,39,12
boltz1_recycling_only,in-training,7.16,10,3,32,1YCR,pair_001,decoy,8KDX,0.10091031342744827,41.121,44.34058823529411,36.910769230769226,36.952,17,13
boltz1_recycling_only,in-training,7.16,10,3,32,1YCR,pair_002,decoy,6YOO,0.17520953714847565,44.487037037037034,47.97588235294118,38.556,38.127500000000005,17,10
boltz1_recycling_only,in-training,7.16,10,3,32,1YCR,pair_003,decoy,1BE9,0.1306195855140686,44.05875,48.45083333333333,30.8825,29.206,12,4
boltz1_recycling_only,in-training,7.16,10,3,32,1CKA,pair_007,decoy,9F6S,0.11922667175531387,52.526875000000004,58.63100000000001,42.35333333333333,42.35333333333333,10,6
boltz1_recycling_only,in-training,7.16,10,3,32,1CKA,pair_008,decoy,6YOO,0.053106360137462616,49.35652173913043,51.88722222222222,40.246,39.390833333333326,18,5
