arm,panel,section,sampling_steps,recycling,msa_depth,receptor_id,name,label,peptide_from,iptm,iface_plddt,receptor_side,peptide_side,peptide_whole,n_rec_iface,n_pep_iface
heldout_full_draw1,held-out,7.10.6,,,,9F6S,ho_000,cognate,9F6S,0.9216082096099854,89.37739130434782,93.12411764705882,78.76166666666666,78.76166666666666,17,6
heldout_full_draw1,held-out,7.10.6,,,,9F6S,ho_001,decoy,9C66,0.19649556279182434,70.76758620689655,82.61449999999999,44.44111111111111,44.43,20,9
heldout_full_draw1,held-out,7.10.6,,,,9F6S,ho_002,decoy,8VGC,0.21517051756381989,68.38827586206897,81.30999999999999,39.67333333333333,38.184000000000005,20,9
heldout_full_draw1,held-out,7.10.6,,,,9F6S,ho_003,decoy,9GRF,0.24083557724952698,68.15193548387097,81.22727272727273,36.19,35.439,22,9
heldout_full_draw1,held-out,7.10.6,,,,9F6S,ho_004,scrambled,9F6S,0.9282938838005066,91.6690476190476,94.42466666666665,84.78000000000002,84.78000000000002,15,6
heldout_full_draw1,held-out,7.10.6,,,,9F6S,ho_005,scrambled,9F6S,0.8435268402099609,81.2704347826087,85.66,68.83333333333333,68.83333333333333,17,6
heldout_full_draw1,held-out,7.10.6,,,,8KDX,ho_006,cognate,8KDX,0.26175037026405334,72.27260869565217,84.15066666666668,50.00125,49.03066666666666,15,8
heldout_full_draw1,held-out,7.10.6,,,,8KDX,ho_007,decoy,7E0B,0.19038589298725128,75.30318181818183,85.725625,47.51,48.451428571428565,16,6
heldout_full_draw1,held-out,7.10.6,,,,8KDX,ho_008,decoy,7OKL,0.26851794123649597,76.71266666666665,88.16545454545454,45.2175,45.56833333333333,11,4
heldout_full_draw1,held-out,7.10.6,,,,8KDX,ho_009,decoy,8HLO,0.5650277733802795,82.25636363636364,89.75,69.1425,67.68846153846154,14,8
heldout_full_draw1,held-out,7.10.6,,,,8KDX,ho_010,scrambled,8KDX,0.5408205389976501,81.33366666666667,90.72888888888889,67.24083333333333,65.83533333333332,18,12
heldout_full_draw1,held-out,7.10.6,,,,8KDX,ho_011,scrambled,8KDX,0.26809263229370117,71.96333333333332,84.69866666666665,50.73777777777778,51.16466666666667,15,9
heldout_full_draw1,held-out,7.10.6,,,,9GRF,ho_012,cognate,9GRF,0.11540437489748001,69.67454545454547,89.07999999999997,35.714999999999996,35.474000000000004,14,8
heldout_full_draw1,held-out,7.10.6,,,,9GRF,ho_013,decoy,7S7J,0.07403357326984406,70.05441176470589,86.9478947368421,48.656,50.66173913043478,19,15
heldout_full_draw1,held-out,7.10.6,,,,9GRF,ho_014,decoy,9C66,0.7613065242767334,91.50384615384615,95.1075,85.738,84.77499999999999,8,5
heldout_full_draw1,held-out,7.10.6,,,,9GRF,ho_015,decoy,9F6S,0.319027841091156,73.608125,87.97363636363636,42.004000000000005,41.388333333333335,11,5
