name,receptor_id,label,arm
ho_000,9F6S,cognate,heldout_boltz1
ho_001,9F6S,decoy,heldout_boltz1
ho_002,9F6S,decoy,heldout_boltz1
ho_003,9F6S,decoy,heldout_boltz1
ho_004,9F6S,scrambled,heldout_boltz1
ho_005,9F6S,scrambled,heldout_boltz1
ho_006,8KDX,cognate,heldout_boltz1
ho_007,8KDX,decoy,heldout_boltz1
ho_008,8KDX,decoy,heldout_boltz1
ho_009,8KDX,decoy,heldout_boltz1
ho_010,8KDX,scrambled,heldout_boltz1
ho_011,8KDX,scrambled,heldout_boltz1
ho_012,9GRF,cognate,heldout_boltz1
ho_013,9GRF,decoy,heldout_boltz1
ho_014,9GRF,decoy,heldout_boltz1
ho_015,9GRF,decoy,heldout_boltz1
ho_016,9GRF,scrambled,heldout_boltz1
ho_017,9GRF,scrambled,heldout_boltz1
ho_018,7S7J,cognate,heldout_boltz1
ho_019,7S7J,decoy,heldout_boltz1
ho_020,7S7J,decoy,heldout_boltz1
ho_021,7S7J,decoy,heldout_boltz1
ho_022,7S7J,scrambled,heldout_boltz1
ho_023,7S7J,scrambled,heldout_boltz1
ho_024,8HLO,cognate,heldout_boltz1
ho_025,8HLO,decoy,heldout_boltz1
ho_026,8HLO,decoy,heldout_boltz1
ho_027,8HLO,decoy,heldout_boltz1
ho_028,8HLO,scrambled,heldout_boltz1
ho_029,8HLO,scrambled,heldout_boltz1
ho_030,7OKL,cognate,heldout_boltz1
ho_031,7OKL,decoy,heldout_boltz1
ho_032,7OKL,decoy,heldout_boltz1
ho_033,7OKL,decoy,heldout_boltz1
ho_034,7OKL,scrambled,heldout_boltz1
ho_035,7OKL,scrambled,heldout_boltz1
ho_036,8OP0,cognate,heldout_boltz1
ho_037,8OP0,decoy,heldout_boltz1
ho_038,8OP0,decoy,heldout_boltz1
ho_039,8OP0,decoy,heldout_boltz1
ho_040,8OP0,scrambled,heldout_boltz1
ho_041,8OP0,scrambled,heldout_boltz1
ho_042,7RUP,cognate,heldout_boltz1
ho_043,7RUP,decoy,heldout_boltz1
ho_044,7RUP,decoy,heldout_boltz1
ho_045,7RUP,decoy,heldout_boltz1
ho_046,7RUP,scrambled,heldout_boltz1
ho_047,7RUP,scrambled,heldout_boltz1
ho_048,8JJV,cognate,heldout_boltz1
ho_049,8JJV,decoy,heldout_boltz1
ho_050,8JJV,decoy,heldout_boltz1
ho_051,8JJV,decoy,heldout_boltz1
ho_052,8JJV,scrambled,heldout_boltz1
ho_053,8JJV,scrambled,heldout_boltz1
ho_054,8PEF,cognate,heldout_boltz1
ho_055,8PEF,decoy,heldout_boltz1
ho_056,8PEF,decoy,heldout_boltz1
ho_057,8PEF,decoy,heldout_boltz1
ho_058,8PEF,scrambled,heldout_boltz1
ho_059,8PEF,scrambled,heldout_boltz1
ho_060,7E0B,cognate,heldout_boltz1
ho_061,7E0B,decoy,heldout_boltz1
ho_062,7E0B,decoy,heldout_boltz1
ho_063,7E0B,decoy,heldout_boltz1
ho_064,7E0B,scrambled,heldout_boltz1
ho_065,7E0B,scrambled,heldout_boltz1
ho_066,7JZQ,cognate,heldout_boltz1
ho_067,7JZQ,decoy,heldout_boltz1
ho_068,7JZQ,decoy,heldout_boltz1
ho_069,7JZQ,decoy,heldout_boltz1
ho_070,7JZQ,scrambled,heldout_boltz1
ho_071,7JZQ,scrambled,heldout_boltz1
ho_072,7F3S,cognate,heldout_boltz1
ho_073,7F3S,decoy,heldout_boltz1
ho_074,7F3S,decoy,heldout_boltz1
ho_075,7F3S,decoy,heldout_boltz1
ho_076,7F3S,scrambled,heldout_boltz1
ho_077,7F3S,scrambled,heldout_boltz1
ho_078,9C66,cognate,heldout_boltz1
ho_079,9C66,decoy,heldout_boltz1
ho_080,9C66,decoy,heldout_boltz1
ho_081,9C66,decoy,heldout_boltz1
ho_082,9C66,scrambled,heldout_boltz1
ho_083,9C66,scrambled,heldout_boltz1
ho_084,8VGC,cognate,heldout_boltz1
ho_085,8VGC,decoy,heldout_boltz1
ho_086,8VGC,decoy,heldout_boltz1
ho_087,8VGC,decoy,heldout_boltz1
ho_088,8VGC,scrambled,heldout_boltz1
ho_089,8VGC,scrambled,heldout_boltz1
ho_090,7UHE,cognate,heldout_boltz1
ho_091,7UHE,decoy,heldout_boltz1
ho_092,7UHE,decoy,heldout_boltz1
ho_093,7UHE,decoy,heldout_boltz1
ho_094,7UHE,scrambled,heldout_boltz1
ho_095,7UHE,scrambled,heldout_boltz1
ho_096,7PVX,cognate,heldout_boltz1
ho_097,7PVX,decoy,heldout_boltz1
ho_098,7PVX,decoy,heldout_boltz1
ho_099,7PVX,decoy,heldout_boltz1
ho_100,7PVX,scrambled,heldout_boltz1
ho_101,7PVX,scrambled,heldout_boltz1
ho_102,7TZK,cognate,heldout_boltz1
ho_103,7TZK,decoy,heldout_boltz1
ho_104,7TZK,decoy,heldout_boltz1
ho_105,7TZK,decoy,heldout_boltz1
ho_106,7TZK,scrambled,heldout_boltz1
ho_107,7TZK,scrambled,heldout_boltz1
ho_108,8YTG,cognate,heldout_boltz1
ho_109,8YTG,decoy,heldout_boltz1
ho_110,8YTG,decoy,heldout_boltz1
ho_111,8YTG,decoy,heldout_boltz1
ho_112,8YTG,scrambled,heldout_boltz1
ho_113,8YTG,scrambled,heldout_boltz1
ho_114,8TFU,cognate,heldout_boltz1
ho_115,8TFU,decoy,heldout_boltz1
ho_116,8TFU,decoy,heldout_boltz1
ho_117,8TFU,decoy,heldout_boltz1
ho_118,8TFU,scrambled,heldout_boltz1
ho_119,8TFU,scrambled,heldout_boltz1
ho_120,7XV0,cognate,heldout_boltz1
ho_121,7XV0,decoy,heldout_boltz1
ho_122,7XV0,decoy,heldout_boltz1
ho_123,7XV0,decoy,heldout_boltz1
ho_124,7XV0,scrambled,heldout_boltz1
ho_125,7XV0,scrambled,heldout_boltz1
ho_126,8X8A,cognate,heldout_boltz1
ho_127,8X8A,decoy,heldout_boltz1
ho_128,8X8A,decoy,heldout_boltz1
ho_129,8X8A,decoy,heldout_boltz1
ho_130,8X8A,scrambled,heldout_boltz1
ho_131,8X8A,scrambled,heldout_boltz1
