arm,panel,section,sampling_steps,recycling,msa_depth,receptor_id,name,label,peptide_from,iptm,iface_plddt,receptor_side,peptide_side,peptide_whole,n_rec_iface,n_pep_iface
panel59_full,extended,2.8,,,,1YCR,pair_000,cognate,1YCR,0.8647233843803406,86.54542846679688,89.94652209074602,80.02666568756104,,23,12
panel59_full,extended,2.8,,,,1YCR,pair_001,decoy,2EEO,0.2646096348762512,57.38580013275146,71.58428614480155,39.31499975377863,,28,22
panel59_full,extended,2.8,,,,1YCR,pair_002,decoy,1MFG,0.46234458684921265,73.18035697937012,85.02299976348877,43.573750019073486,,20,8
panel59_full,extended,2.8,,,,1YCR,pair_003,decoy,5WOU,0.8274434208869934,86.98071411677769,90.63399963378906,77.84750032424927,,20,8
panel59_full,extended,2.8,,,,1YCR,pair_004,scrambled,1YCR,0.41607651114463806,68.5847225189209,78.97173939580503,50.20769265981821,,23,13
panel59_full,extended,2.8,,,,1YCR,pair_005,scrambled,1YCR,0.5203924775123596,73.99531257152557,82.93449993133545,59.096666971842446,,20,12
panel59_full,extended,2.8,,,,1CKA,pair_006,cognate,1CKA,0.912234365940094,97.32285635811942,98.1999992957482,95.89749908447266,,13,8
panel59_full,extended,2.8,,,,1CKA,pair_007,decoy,3JQL,0.7051114439964294,84.88473711515728,92.83000019618443,62.63800048828125,,14,5
panel59_full,extended,2.8,,,,1CKA,pair_008,decoy,2PV1,0.6720632910728455,84.4282356710995,92.57083384195964,64.88600006103516,,12,5
panel59_full,extended,2.8,,,,1CKA,pair_009,decoy,4O36,0.7082947492599487,85.71450061798096,92.16000019420277,77.83666780259874,,11,9
panel59_full,extended,2.8,,,,1CKA,pair_010,scrambled,1CKA,0.6723804473876953,85.50869568534519,92.48624992370605,69.5600002833775,,16,7
panel59_full,extended,2.8,,,,1CKA,pair_011,scrambled,1CKA,0.3214482069015503,81.2038098289853,90.19571467808315,63.22000013078962,,14,7
panel59_full,extended,2.8,,,,1BE9,pair_012,cognate,1BE9,0.9873507022857666,98.18565269138502,98.51944478352864,96.98400115966797,,18,5
panel59_full,extended,2.8,,,,1BE9,pair_013,decoy,5D94,0.43297573924064636,74.62500009536743,85.73035717010498,48.71250025431315,,28,12
panel59_full,extended,2.8,,,,1BE9,pair_014,decoy,6GPZ,0.3718196451663971,55.95407372933847,60.960587669821344,47.44300003051758,,17,10
panel59_full,extended,2.8,,,,1BE9,pair_015,decoy,2GBQ,0.18703565001487732,50.340526480423776,54.33807725172777,41.6791664759318,,26,12
panel59_full,extended,2.8,,,,1BE9,pair_016,scrambled,1BE9,0.6325612664222717,75.8769998550415,76.22600021362305,74.82999877929687,,15,5
panel59_full,extended,2.8,,,,1BE9,pair_017,scrambled,1BE9,0.776954710483551,81.18210521497224,84.61857169015067,71.55999908447265,,14,5
panel59_full,extended,2.8,,,,1SEM,pair_018,cognate,1SEM,0.8991249799728394,96.87947363602488,98.53545518354936,94.60249900817871,,11,8
panel59_full,extended,2.8,,,,1SEM,pair_019,decoy,4O36,0.7086683511734009,80.98153847914476,87.09071459089007,73.85416634877522,,14,12
panel59_full,extended,2.8,,,,1SEM,pair_020,decoy,8TGF,0.6202352643013,77.22631595009251,86.97454625909978,63.82249927520752,,11,8
panel59_full,extended,2.8,,,,1SEM,pair_021,decoy,3BFQ,0.2952582836151123,65.93791643778484,80.4608325958252,51.41500027974447,,12,12
panel59_full,extended,2.8,,,,1SEM,pair_022,scrambled,1SEM,0.2676292657852173,73.3476190112886,87.9061537522536,49.69000005722046,,13,8
panel59_full,extended,2.8,,,,1SEM,pair_023,scrambled,1SEM,0.3575492799282074,78.83095278058734,89.37769258939304,61.692500591278076,,13,8
panel59_full,extended,2.8,,,,1ELW,pair_024,cognate,1ELW,0.9730725288391113,98.17142840794155,98.69349899291993,96.8662519454956,,20,8
panel59_full,extended,2.8,,,,1ELW,pair_025,decoy,8HLO,0.35193654894828796,75.21129042102444,90.95571463448661,42.1479995727539,,21,10
panel59_full,extended,2.8,,,,1ELW,pair_026,decoy,9F6S,0.6061373353004456,82.8435001373291,94.88714327131,54.74166615804037,,14,6
panel59_full,extended,2.8,,,,1ELW,pair_027,decoy,8KDX,0.2441295087337494,75.57815812763415,91.14230786837064,41.85583368937174,,26,12
