arm,panel,section,sampling_steps,recycling,msa_depth,receptor_id,name,label,peptide_from,iptm,iface_plddt,receptor_side,peptide_side,peptide_whole,n_rec_iface,n_pep_iface
panel59_reduced,extended,2.8,,,,1YCR,pair_000,cognate,1YCR,0.17188404500484467,,,,,,
panel59_reduced,extended,2.8,,,,1YCR,pair_001,decoy,2EEO,0.08690690249204636,,,,,,
panel59_reduced,extended,2.8,,,,1YCR,pair_002,decoy,1MFG,0.11332830786705017,,,,,,
panel59_reduced,extended,2.8,,,,1YCR,pair_003,decoy,5WOU,0.175986647605896,,,,,,
panel59_reduced,extended,2.8,,,,1YCR,pair_004,scrambled,1YCR,0.12232756614685059,,,,,,
panel59_reduced,extended,2.8,,,,1YCR,pair_005,scrambled,1YCR,0.12144313752651215,,,,,,
panel59_reduced,extended,2.8,,,,1CKA,pair_006,cognate,1CKA,0.26854947209358215,,,,,,
panel59_reduced,extended,2.8,,,,1CKA,pair_007,decoy,3JQL,0.12440165132284164,,,,,,
panel59_reduced,extended,2.8,,,,1CKA,pair_008,decoy,2PV1,0.14003050327301025,,,,,,
panel59_reduced,extended,2.8,,,,1CKA,pair_009,decoy,4O36,0.1430284082889557,,,,,,
panel59_reduced,extended,2.8,,,,1CKA,pair_010,scrambled,1CKA,0.139190211892128,,,,,,
panel59_reduced,extended,2.8,,,,1CKA,pair_011,scrambled,1CKA,0.32900625467300415,,,,,,
panel59_reduced,extended,2.8,,,,1BE9,pair_012,cognate,1BE9,0.2632363438606262,,,,,,
panel59_reduced,extended,2.8,,,,1BE9,pair_013,decoy,5D94,0.17269763350486755,,,,,,
panel59_reduced,extended,2.8,,,,1BE9,pair_014,decoy,6GPZ,0.08861146122217178,,,,,,
panel59_reduced,extended,2.8,,,,1BE9,pair_015,decoy,2GBQ,0.11222434043884277,,,,,,
panel59_reduced,extended,2.8,,,,1BE9,pair_016,scrambled,1BE9,0.11812204122543335,,,,,,
panel59_reduced,extended,2.8,,,,1BE9,pair_017,scrambled,1BE9,0.12258858233690262,,,,,,
panel59_reduced,extended,2.8,,,,1SEM,pair_018,cognate,1SEM,0.1231456771492958,,,,,,
panel59_reduced,extended,2.8,,,,1SEM,pair_019,decoy,4O36,0.13596786558628082,,,,,,
panel59_reduced,extended,2.8,,,,1SEM,pair_020,decoy,8TGF,0.06174623966217041,,,,,,
panel59_reduced,extended,2.8,,,,1SEM,pair_021,decoy,3BFQ,0.10541536659002304,,,,,,
panel59_reduced,extended,2.8,,,,1SEM,pair_022,scrambled,1SEM,0.1990937441587448,,,,,,
panel59_reduced,extended,2.8,,,,1SEM,pair_023,scrambled,1SEM,0.22718989849090576,,,,,,
panel59_reduced,extended,2.8,,,,1ELW,pair_024,cognate,1ELW,0.24382120370864868,,,,,,
panel59_reduced,extended,2.8,,,,1ELW,pair_025,decoy,8HLO,0.12674397230148315,,,,,,
panel59_reduced,extended,2.8,,,,1ELW,pair_026,decoy,9F6S,0.27734583616256714,,,,,,
panel59_reduced,extended,2.8,,,,1ELW,pair_027,decoy,8KDX,0.1256190687417984,,,,,,
panel59_reduced,extended,2.8,,,,1ELW,pair_028,scrambled,1ELW,0.1737557351589203,,,,,,
panel59_reduced,extended,2.8,,,,1ELW,pair_029,scrambled,1ELW,0.1863553673028946,,,,,,
panel59_reduced,extended,2.8,,,,2GBQ,pair_030,cognate,2GBQ,0.2537299394607544,,,,,,
panel59_reduced,extended,2.8,,,,2GBQ,pair_031,decoy,1OBX,0.09913086891174316,,,,,,
panel59_reduced,extended,2.8,,,,2GBQ,pair_032,decoy,6L0W,0.09086965024471283,,,,,,
panel59_reduced,extended,2.8,,,,2GBQ,pair_033,decoy,9GRF,0.20019111037254333,,,,,,
panel59_reduced,extended,2.8,,,,2GBQ,pair_034,scrambled,2GBQ,0.1723136305809021,,,,,,
panel59_reduced,extended,2.8,,,,2GBQ,pair_035,scrambled,2GBQ,0.19811610877513885,,,,,,
panel59_reduced,extended,2.8,,,,1D4T,pair_036,cognate,1D4T,0.1487954705953598,,,,,,
panel59_reduced,extended,2.8,,,,1D4T,pair_037,decoy,3RM1,0.13392198085784912,,,,,,
panel59_reduced,extended,2.8,,,,1D4T,pair_038,decoy,2VWF,0.12752661108970642,,,,,,
panel59_reduced,extended,2.8,,,,1D4T,pair_039,decoy,4LN2,0.09704937040805817,,,,,,
panel59_reduced,extended,2.8,,,,1D4T,pair_040,scrambled,1D4T,0.20360946655273438,,,,,,
panel59_reduced,extended,2.8,,,,1D4T,pair_041,scrambled,1D4T,0.16384989023208618,,,,,,
panel59_reduced,extended,2.8,,,,1TP5,pair_042,cognate,1TP5,0.19948285818099976,,,,,,
panel59_reduced,extended,2.8,,,,1TP5,pair_043,decoy,8KDX,0.10749605298042297,,,,,,
panel59_reduced,extended,2.8,,,,1TP5,pair_044,decoy,9F6S,0.26335829496383667,,,,,,
panel59_reduced,extended,2.8,,,,1TP5,pair_045,decoy,5D94,0.22601909935474396,,,,,,
panel59_reduced,extended,2.8,,,,1TP5,pair_046,scrambled,1TP5,0.18015596270561218,,,,,,
panel59_reduced,extended,2.8,,,,1TP5,pair_047,scrambled,1TP5,0.2222064584493637,,,,,,
panel59_reduced,extended,2.8,,,,2FNT,pair_048,cognate,2FNT,0.1489696502685547,,,,,,
panel59_reduced,extended,2.8,,,,2FNT,pair_049,decoy,2DS8,0.2201833724975586,,,,,,
panel59_reduced,extended,2.8,,,,2FNT,pair_050,decoy,7S7J,0.11236333101987839,,,,,,
panel59_reduced,extended,2.8,,,,2FNT,pair_051,decoy,1ELW,0.10724588483572006,,,,,,
panel59_reduced,extended,2.8,,,,2FNT,pair_052,scrambled,2FNT,0.09387778490781784,,,,,,
panel59_reduced,extended,2.8,,,,2FNT,pair_053,scrambled,2FNT,0.15882377326488495,,,,,,
panel59_reduced,extended,2.8,,,,1NLO,pair_054,cognate,1NLO,0.10821040719747543,,,,,,
panel59_reduced,extended,2.8,,,,1NLO,pair_055,decoy,6R8I,0.10458598285913467,,,,,,
panel59_reduced,extended,2.8,,,,1NLO,pair_056,decoy,6EZI,0.11368785798549652,,,,,,
