arm,panel,section,sampling_steps,recycling,msa_depth,receptor_id,name,label,peptide_from,iptm,iface_plddt,receptor_side,peptide_side,peptide_whole,n_rec_iface,n_pep_iface
boltz1_full,in-training,7.13,200,3,,1YCR,pair_000,cognate,1YCR,0.8639678359031677,86.5140625,88.9735,82.41499999999998,82.49066666666666,20,12
boltz1_full,in-training,7.13,200,3,,1YCR,pair_001,decoy,8KDX,0.25507497787475586,65.52054054054054,79.16375,40.33307692307692,40.616,24,13
boltz1_full,in-training,7.13,200,3,,1YCR,pair_002,decoy,6YOO,0.5017983317375183,70.28125,83.2304761904762,45.56,45.64166666666667,21,11
boltz1_full,in-training,7.13,200,3,,1YCR,pair_003,decoy,1BE9,0.41377681493759155,77.79190476190476,89.045625,41.78,41.78,16,5
boltz1_full,in-training,7.13,200,3,,1YCR,pair_004,scrambled,1YCR,0.5807089805603027,81.4448275862069,89.03263157894736,67.02799999999999,65.454,19,10
boltz1_full,in-training,7.13,200,3,,1YCR,pair_005,scrambled,1YCR,0.7453436851501465,78.59464285714286,87.07333333333332,68.81153846153846,71.30533333333332,15,13
boltz1_full,in-training,7.13,200,3,,1CKA,pair_006,cognate,1CKA,0.917180597782135,95.92124999999999,97.86533333333334,92.6811111111111,92.53399999999999,15,9
boltz1_full,in-training,7.13,200,3,,1CKA,pair_007,decoy,9F6S,0.6349039077758789,84.69941176470589,93.5790909090909,68.42,68.42,11,6
boltz1_full,in-training,7.13,200,3,,1CKA,pair_008,decoy,6YOO,0.07364178448915482,75.23222222222222,90.06333333333333,45.57,46.51749999999999,18,9
boltz1_full,in-training,7.13,200,3,,1CKA,pair_009,decoy,4LN2,0.4411402642726898,73.58380952380952,87.54666666666667,54.96666666666667,54.07727272727272,12,9
boltz1_full,in-training,7.13,200,3,,1CKA,pair_010,scrambled,1CKA,0.9202780723571777,96.32090909090908,97.72133333333333,93.32000000000001,90.735,15,7
boltz1_full,in-training,7.13,200,3,,1CKA,pair_011,scrambled,1CKA,0.7116613984107971,85.41411764705883,93.848,73.36571428571428,73.694,10,7
boltz1_full,in-training,7.13,200,3,,1BE9,pair_012,cognate,1BE9,0.9878419041633606,97.98043478260868,98.39388888888888,96.492,96.492,18,5
boltz1_full,in-training,7.13,200,3,,1BE9,pair_016,scrambled,1BE9,0.8683499097824097,89.68428571428572,96.21000000000001,68.80199999999999,68.80199999999999,16,5
boltz1_full,in-training,7.13,200,3,,1BE9,pair_017,scrambled,1BE9,0.6273170709609985,89.0785,95.66333333333336,69.32399999999998,69.32399999999998,15,5
boltz1_full,in-training,7.13,200,3,,1SEM,pair_018,cognate,1SEM,0.8858343958854675,97.06157894736842,98.5225,94.55714285714285,91.15200000000002,12,7
boltz1_full,in-training,7.13,200,3,,1SEM,pair_022,scrambled,1SEM,0.6236041188240051,81.7865,91.93846153846154,62.932857142857145,61.227,13,7
boltz1_full,in-training,7.13,200,3,,1SEM,pair_023,scrambled,1SEM,0.7232182621955872,91.69666666666666,96.24,86.01750000000001,82.74499999999998,10,8
boltz1_full,in-training,7.13,200,3,,1ELW,pair_024,cognate,1ELW,0.9777377247810364,98.28107142857142,98.789,97.01124999999999,97.01124999999999,20,8
boltz1_full,in-training,7.13,200,3,,1ELW,pair_028,scrambled,1ELW,0.8015145659446716,86.64781249999999,94.64291666666668,62.6625,62.6625,24,8
boltz1_full,in-training,7.13,200,3,,1ELW,pair_029,scrambled,1ELW,0.6757503151893616,84.01655172413793,94.56619047619047,56.32375,56.32375,21,8
boltz1_full,in-training,7.13,200,3,,2GBQ,pair_030,cognate,2GBQ,0.8249646425247192,85.2124,88.05071428571429,81.60000000000001,82.155,14,11
boltz1_full,in-training,7.13,200,3,,2GBQ,pair_034,scrambled,2GBQ,0.4868294596672058,67.6475,79.59153846153846,53.531818181818174,53.09666666666666,13,11
boltz1_full,in-training,7.13,200,3,,2GBQ,pair_035,scrambled,2GBQ,0.7149436473846436,79.27,85.59818181818183,72.309,71.30666666666667,11,10
boltz1_full,in-training,7.13,200,3,,1D4T,pair_036,cognate,1D4T,0.9613912105560303,95.91454545454546,96.72913043478263,94.041,92.40818181818183,23,10
boltz1_full,in-training,7.13,200,3,,1D4T,pair_040,scrambled,1D4T,0.6735624074935913,83.2371875,90.36904761904762,69.62181818181818,69.62181818181818,21,11
boltz1_full,in-training,7.13,200,3,,1D4T,pair_041,scrambled,1D4T,0.18680527806282043,67.95942857142859,82.97458333333333,35.19909090909091,35.19909090909091,24,11
boltz1_full,in-training,7.13,200,3,,1TP5,pair_042,cognate,1TP5,0.9655926823616028,96.5886956521739,97.96529411764705,92.68833333333333,92.68833333333333,17,6
