arm,panel,section,sampling_steps,recycling,msa_depth,receptor_id,name,label,peptide_from,iptm,iface_plddt,receptor_side,peptide_side,peptide_whole,n_rec_iface,n_pep_iface
boltz1_sampling_only,in-training,7.16,200,1,32,1YCR,pair_000,cognate,1YCR,0.811062753200531,83.3039393939394,85.82428571428571,78.89333333333333,79.25800000000001,21,12
boltz1_sampling_only,in-training,7.16,200,1,32,1YCR,pair_004,scrambled,1YCR,0.3892512023448944,72.84766666666668,81.30142857142857,53.12222222222223,53.04933333333334,21,9
boltz1_sampling_only,in-training,7.16,200,1,32,1YCR,pair_005,scrambled,1YCR,0.7710392475128174,77.05482758620691,83.12055555555555,67.12909090909089,68.08266666666665,18,11
boltz1_sampling_only,in-training,7.16,200,1,32,1CKA,pair_006,cognate,1CKA,0.9196191430091858,96.1225,98.02466666666668,92.95222222222222,92.771,15,9
boltz1_sampling_only,in-training,7.16,200,1,32,1CKA,pair_010,scrambled,1CKA,0.6351425051689148,84.24809523809523,92.05928571428569,68.62571428571428,68.578,14,7
boltz1_sampling_only,in-training,7.16,200,1,32,1CKA,pair_011,scrambled,1CKA,0.3641529381275177,82.85809523809525,91.03571428571429,66.50285714285715,66.491,14,7
boltz1_sampling_only,in-training,7.16,200,1,32,1BE9,pair_012,cognate,1BE9,0.9777954816818237,94.74833333333333,95.20157894736842,93.026,93.026,19,5
boltz1_sampling_only,in-training,7.16,200,1,32,1BE9,pair_016,scrambled,1BE9,0.718621551990509,76.37052631578948,77.05214285714285,74.462,74.462,14,5
boltz1_sampling_only,in-training,7.16,200,1,32,1BE9,pair_017,scrambled,1BE9,0.7066856026649475,79.03842105263156,80.22285714285714,75.72200000000001,75.72200000000001,14,5
boltz1_sampling_only,in-training,7.16,200,1,32,1SEM,pair_018,cognate,1SEM,0.8943379521369934,96.9005,98.50583333333333,94.49249999999999,92.80600000000001,12,8
boltz1_sampling_only,in-training,7.16,200,1,32,1SEM,pair_022,scrambled,1SEM,0.35535526275634766,72.54142857142858,89.1925,50.34,49.766000000000005,12,9
boltz1_sampling_only,in-training,7.16,200,1,32,1SEM,pair_023,scrambled,1SEM,0.31900784373283386,81.608125,91.33444444444444,69.10285714285715,64.345,9,7
boltz1_sampling_only,in-training,7.16,200,1,32,1ELW,pair_024,cognate,1ELW,0.9702897667884827,98.05222222222223,98.74368421052633,96.41,96.41,19,8
boltz1_sampling_only,in-training,7.16,200,1,32,1ELW,pair_028,scrambled,1ELW,0.6819935441017151,85.4355172413793,95.1047619047619,60.053749999999994,60.053749999999994,21,8
boltz1_sampling_only,in-training,7.16,200,1,32,1ELW,pair_029,scrambled,1ELW,0.8282371163368225,88.71827586206896,95.56904761904761,70.735,70.735,21,8
boltz1_sampling_only,in-training,7.16,200,1,32,2GBQ,pair_030,cognate,2GBQ,0.8237038850784302,83.40375,86.43,79.82727272727271,80.61999999999999,13,11
boltz1_sampling_only,in-training,7.16,200,1,32,2GBQ,pair_034,scrambled,2GBQ,0.6624493598937988,72.67222222222222,82.73176470588236,55.571000000000005,56.3325,17,10
boltz1_sampling_only,in-training,7.16,200,1,32,2GBQ,pair_035,scrambled,2GBQ,0.7294672131538391,79.95041666666667,84.15466666666667,72.94333333333333,72.43,15,9
boltz1_sampling_only,in-training,7.16,200,1,32,1D4T,pair_036,cognate,1D4T,0.7637118101119995,78.51228571428571,79.63076923076922,75.2811111111111,75.35363636363635,26,9
boltz1_sampling_only,in-training,7.16,200,1,32,1D4T,pair_040,scrambled,1D4T,0.3046753704547882,66.15277777777777,74.73519999999999,46.647272727272714,46.647272727272714,25,11
boltz1_sampling_only,in-training,7.16,200,1,32,1D4T,pair_041,scrambled,1D4T,0.2568216919898987,64.36823529411765,74.9175,39.050000000000004,38.326363636363645,24,10
boltz1_sampling_only,in-training,7.16,200,1,32,1TP5,pair_042,cognate,1TP5,0.9625616073608398,94.1717391304348,96.11882352941177,88.65500000000002,88.65500000000002,17,6
boltz1_sampling_only,in-training,7.16,200,1,32,1TP5,pair_046,scrambled,1TP5,0.8224115371704102,87.33785714285713,88.34500000000001,83.645,83.645,22,6
boltz1_sampling_only,in-training,7.16,200,1,32,1TP5,pair_047,scrambled,1TP5,0.40060704946517944,73.86571428571428,79.22363636363637,54.22,54.22,22,6
boltz1_sampling_only,in-training,7.16,200,1,32,2FNT,pair_048,cognate,2FNT,0.19215120375156403,71.08375000000001,85.07739130434781,35.32222222222222,34.838,23,9
boltz1_sampling_only,in-training,7.16,200,1,32,2FNT,pair_052,scrambled,2FNT,0.19286967813968658,66.50666666666666,80.9295652173913,33.334,33.334,23,10
boltz1_sampling_only,in-training,7.16,200,1,32,2FNT,pair_053,scrambled,2FNT,0.35028690099716187,72.12533333333333,83.72904761904763,45.04999999999999,44.626999999999995,21,9
boltz1_sampling_only,in-training,7.16,200,1,32,1NLO,pair_054,cognate,1NLO,0.20416218042373657,68.17045454545455,78.54923076923077,53.17888888888889,51.89181818181819,13,9
boltz1_sampling_only,in-training,7.16,200,1,32,1NLO,pair_058,scrambled,1NLO,0.20487523078918457,64.895,74.26,47.205555555555556,47.627272727272725,17,9
boltz1_sampling_only,in-training,7.16,200,1,32,1NLO,pair_059,scrambled,1NLO,0.13420544564723969,64.60578947368423,74.11083333333333,48.31142857142857,47.593636363636364,12,7
boltz1_sampling_only,in-training,7.16,200,1,32,1OAI,pair_060,cognate,1OAI,0.6762456893920898,91.66600000000001,96.02214285714285,81.50166666666667,77.29333333333334,14,6
boltz1_sampling_only,in-training,7.16,200,1,32,1OAI,pair_064,scrambled,1OAI,0.2671630084514618,76.16428571428571,89.56,42.675000000000004,41.47666666666667,15,6
boltz1_sampling_only,in-training,7.16,200,1,32,1OAI,pair_065,scrambled,1OAI,0.26618292927742004,75.59049999999999,89.615,42.86666666666667,42.68888888888889,14,6
boltz1_sampling_only,in-training,7.16,200,1,32,4LN2,pair_066,cognate,4LN2,0.14527881145477295,58.88458333333333,70.10733333333334,40.18,39.906363636363636,15,9
boltz1_sampling_only,in-training,7.16,200,1,32,4LN2,pair_070,scrambled,4LN2,0.18252693116664886,61.879999999999995,71.18818181818182,41.402,40.654545454545456,22,10
boltz1_sampling_only,in-training,7.16,200,1,32,4LN2,pair_071,scrambled,4LN2,0.1496540904045105,54.91791666666666,62.426,42.40444444444445,42.050909090909094,15,9
boltz1_sampling_only,in-training,7.16,200,1,32,9F6S,pair_072,cognate,9F6S,0.8370082974433899,83.97478260869563,89.55235294117647,68.17166666666667,68.17166666666667,17,6
boltz1_sampling_only,in-training,7.16,200,1,32,9F6S,pair_076,scrambled,9F6S,0.822571337223053,82.59833333333334,87.57055555555556,67.68166666666667,67.68166666666667,18,6
boltz1_sampling_only,in-training,7.16,200,1,32,9F6S,pair_077,scrambled,9F6S,0.7424054741859436,82.62545454545455,86.90117647058823,68.088,64.61833333333333,17,5
boltz1_sampling_only,in-training,7.16,200,1,32,8KDX,pair_078,cognate,8KDX,0.24093882739543915,59.284000000000006,66.079375,47.20333333333333,49.24733333333333,16,9
boltz1_sampling_only,in-training,7.16,200,1,32,8KDX,pair_082,scrambled,8KDX,0.15298621356487274,64.55892857142857,73.33999999999999,48.753,50.166666666666664,18,10
boltz1_sampling_only,in-training,7.16,200,1,32,8KDX,pair_083,scrambled,8KDX,0.18024376034736633,57.96727272727273,66.64250000000001,44.62076923076923,44.788,20,13
boltz1_sampling_only,in-training,7.16,200,1,32,6YOO,pair_084,cognate,6YOO,0.8803920149803162,88.576,96.30222222222223,76.98666666666666,76.98666666666666,18,12
boltz1_sampling_only,in-training,7.16,200,1,32,6YOO,pair_088,scrambled,6YOO,0.3982682526111603,77.73375,90.55799999999999,56.35999999999999,50.02333333333333,15,9
boltz1_sampling_only,in-training,7.16,200,1,32,6YOO,pair_089,scrambled,6YOO,0.21159110963344574,72.54290322580646,88.81952380952382,38.362,36.400000000000006,21,10
boltz1_sampling_only,in-training,7.16,200,1,32,3DS4,pair_090,cognate,3DS4,0.9432038068771362,94.57517241379311,94.744,94.2,92.22250000000001,20,9
boltz1_sampling_only,in-training,7.16,200,1,32,3DS4,pair_094,scrambled,3DS4,0.45438194274902344,71.60192307692309,80.44882352941174,54.89111111111111,58.785000000000004,17,9
boltz1_sampling_only,in-training,7.16,200,1,32,3DS4,pair_095,scrambled,3DS4,0.6582093238830566,75.08027777777778,84.97320000000002,52.596363636363634,53.245000000000005,25,11
boltz1_sampling_only,in-training,7.16,200,1,32,9GRF,pair_096,cognate,9GRF,0.2731197476387024,63.76518518518518,75.59222222222223,40.111111111111114,38.949,18,9
boltz1_sampling_only,in-training,7.16,200,1,32,9GRF,pair_100,scrambled,9GRF,0.25948843359947205,63.27176470588236,72.142,38.632222222222225,37.689,25,9
boltz1_sampling_only,in-training,7.16,200,1,32,9GRF,pair_101,scrambled,9GRF,0.3274003267288208,65.55882352941177,75.7275,41.154,41.154,24,10
boltz1_sampling_only,in-training,7.16,200,1,32,7S7J,pair_102,cognate,7S7J,0.8257076740264893,89.06617647058823,94.69526315789474,81.936,80.54347826086958,19,15
boltz1_sampling_only,in-training,7.16,200,1,32,7S7J,pair_106,scrambled,7S7J,0.8885771632194519,93.89222222222223,95.29363636363634,91.68999999999998,88.94043478260869,22,14
boltz1_sampling_only,in-training,7.16,200,1,32,7S7J,pair_107,scrambled,7S7J,0.5634484887123108,77.65333333333334,85.98884615384617,64.108125,66.56739130434782,26,16
boltz1_sampling_only,in-training,7.16,200,1,32,4Z8J,pair_108,cognate,4Z8J,0.9446989893913269,93.19519999999999,94.29235294117647,90.86375,90.86375,17,8
boltz1_sampling_only,in-training,7.16,200,1,32,4Z8J,pair_112,scrambled,4Z8J,0.22541528940200806,75.06571428571428,89.97933333333332,37.781666666666666,37.3875,15,6
boltz1_sampling_only,in-training,7.16,200,1,32,4Z8J,pair_113,scrambled,4Z8J,0.8589658141136169,78.48724137931035,78.29904761904763,78.98124999999999,78.98124999999999,21,8
boltz1_sampling_only,in-training,7.16,200,1,32,8HLO,pair_114,cognate,8HLO,0.8127129077911377,93.18636363636364,96.39857142857144,87.565,83.77923076923076,14,8
boltz1_sampling_only,in-training,7.16,200,1,32,8HLO,pair_118,scrambled,8HLO,0.6025509238243103,77.62793103448276,89.47588235294118,60.84333333333334,61.306153846153855,17,12
